Brand Name,Product Name,Review
Carnage,Active Wear,This active wear set is fantastic for both intense workouts and everyday comfort.
Carnage,Active Wear,Premium fabric that enhances performance while staying comfortable.
Carnage,Active Wear,"Built to last, even with regular and intense use."
Carnage,Overall Dress,Best Sri Lankan Clothing Brand
Carnage,Active Wear,Enhances both your look and performance during workouts.
Carnage,Overall Dress,"Today28/07/2024 I purchased a few items from carnage sale at OGF within 15 min after 3 hours in line . Within 2,3 hours after I purchasing one of tshirt tear off. Very disappointed about the quality of your items. Most of the items are in poor quality and it looks like it was made by the cheap company and embroidered and rebranded as carnage. Never go there especially for sale. 3"
Carnage,Overall Dress,Quality clothing and good customer service
Carnage,Active Wear,"Affordable and high quality active wear, as good as world renowned brands. Gr8 work by the promoters."
Carnage,Overall Dress,A clothing store in Colombo... 1 Luchith Dilpahan
Carnage,Shorts,Great for a day at the beach or a casual stroll.
Carnage,Shorts,Overall quality feels subpar compared to similar products.
Carnage,Shorts,The design appears cheap and lacks the finishing touches.
Carnage,Active Wear,"A must-have for any fitness enthusiast, highly recommend it."
Carnage,Active Wear,Versatile design that adapts easily to different activities.
Carnage,Overall Dress,Good clothes but it takes so long for the cashier to finalise the products …. Please fix this madness so we wouldn’t be standing for hours 1 Ramith kisal
Carnage,Active Wear,Active wears products with good craftsmenship. Bit crowded due sale time. Plenty of of parking slots. 1 Steve Andrew
Carnage,T-shirt,Uncomfortable for hot days due to poor breathability.
Carnage,"Oversized, Joggers","Carnage is a prominent active and lifestyle clothing brand in Sri Lanka, offering a diverse range of apparel for both men and women. Their collection includes oversized t-shirts, leggings, premium joggers, and graphic tees, catering to contemporary fashion trends.

For the latest updates and a glimpse into their product range, you can follow Carnage on Instagram.

Additionally, Carnage offers worldwide shipping through their online store, providing convenient access to their products for customers both locally and internationally. Navin Saeed"
Carnage,Overall Dress,Best customer service and high quality clothes and other items. Best place. Aravinthan Android
Carnage,Overall Dress,"Zero Customer service available online. These people don’t respond to calls, WhatsApp messages, emails, their own website chat and other social media messages. 2"
Carnage,Overall Dress,Clothing material quality is down drastically. 1 Madusanaka J.M.T 1 review
Carnage,Joggers,An impressive blend of style and performance.
Carnage,Overall Dress,I had a great experience at the store. All the clothes were a fantastic ❤️ staff was super friendly young crow young vibes 💪🏻 but I don’t know why these other people are complaining about them. Screw the people who are complaining.😑 anyways i will visit the store more than the online web😘
Carnage,Pants,"Came in today to buy some pants and couldnt get any assistance, instead everyone was busy taking pictures like it was some photo studio. House of fashions next door had similar pants of the same quality for 1/3 of the price and a much more helpful staff.

My idiot friend reccomended this store to me, i wouldnt reccomend it to anyone. 11 Malinda Bandara"
Carnage,Active Wear,Provides excellent support while looking sleek and modern.
Carnage,Overall Dress,"I recently used the express delivery service offered by the clothing company Carnage, and unfortunately, I am extremely disappointed with the service I received. I paid extra for this service with the understanding that my package would be delivered on the same day, but my package was delayed by several days.

I would not recommend using this service if you need your package delivered on time, and I hope that the company takes steps to improve their communication and delivery processes in the future. 6 harsha desapriya 1 review"
Carnage,T-shirt,"It fits true to size, and the cut is flattering without being too tight."
Carnage,Overall Dress,Worst customer service. Today I went to the store no one supporting to me especially there is girl like ice age character she is not asking what customer trying to say😏 3 Dimuthu Hewage
Carnage,Oversized,"Terribly quality. Ordered 3 oversized t shirts from the same collection and all in the size, but weirdly all 3 of them fit differently. Only one of them was truly oversized. The other 2 fit like regular t shirts. Overpriced for the horrendous quality. 8 Dilan Wijesooriya"
Carnage,Overall Dress,New This is a place where you can experience a range of sports wear specially for gym people 👍 with other related accessories Last Evan
Carnage,Joggers,Best for gym outfits. The prices of the joggers are bit much. The quality of the cloths are well up to standard.
Carnage,Top,"I recently purchased Classic Mini Tumbler from your Cranage flagship store but I noticed some iron marks on the top of the bottle, I had bought this as a gift for a friend, and I am quite disappointed with the product's quality, especially considering the price.I hope your company will address this issue and work on improving the product. 1 C Lalinshan"
