Brand Name,Product Name,Review
GFlock,Overall Dress,"New Over the past year, I have placed multiple orders for GFlock clothing, but unfortunately, my experiences have been disappointing. The first time, I was informed that the dress I ordered had been discontinued due to a factory defect and was asked to choose a replacement. However, I was surprised to find that the same dress was still available for purchase on their website. The second time, I placed an order, but even after a month, the dress has yet to be delivered. Once again, I was told that the item had defects and needed to be addressed at the factory. This is not the level of service one expects, especially when purchasing a dress that costs around , rupees! Update: After waiting for more than a month I was told that the dress I ordered and paid for is unavailable. The customer service agent previously told that they will contact me after the dress became available again. But, today after waiting for more than a month I contacted them again and then only I was told that the dress is not available. They didn't even bother to call me. Such poor communication and horrible customer service! Dulashini Wanniarachchi review· photo"
GFlock,Overall Dress,"I have been a loyal customer of GFLOCK for many years, Consistently shopping at the palawatta and then delkanda branch. First, I wanted to make a special note of appreciation to ENOSH for helping me out with an exceptional service at every time.. Thanks a bunch for helping me through the process and for the support of him only I used to visit GFLOCK Colpetty branch recently. Elegant architecture, very calm and beautiful place where you can roam free for what you are looking for . I really loved the environment inside,Two stories are filled with unique collection of dresses etc. Look forward to shop more with GFLOCK💗…CHEERS.. Dulashini Wanniarachchi"
GFlock,Overall Dress,"We apologize for any inconvenience you experienced with your recent E-Gift Voucher purchase. We investigated this incident and would like to provide clarification about our gift vouchers. GFlock offers two types of gift vouchers: physical gift cards and E-Gift Vouchers. When a customer orders an E-Gift Voucher, they receive an email containing a code or link that can be forwarded as a gift for online purchases. Physical gift cards can also be purchased through our website and will be dispatched to your address. These gift cards can be used at our outlets for any purchase. In your case, it appears that you may have overlooked adding an email address to your order, which is why you did not receive the email. However, I believe our customer support team has already assisted you in updating your email address, sending the E-Gift Voucher, and providing the necessary information."
GFlock,Overall Dress,"Being a loyal customer here from day , GFlock can define as a quality product brand. which can be last long. more than + years durability of clothes without any fading. However, will appreciate if they can add UK18 size for their size range as PLUS size ladies also love to wear GFlock"
GFlock,Overall Dress,Visited yesterday they have a good range of office and casual cloth for ladies. The customer is useless and some clothes hanging bit higher its very difficult to see the size . The staff are not friendly but we bought few items they should have take care of the customer and given more very disappointed. Please see to you customer service if not you will loose business. Nizam Muhuseen Nizam Muhuseen Nizam Muhuseen Nizam Muhuseen Nizam Muhuseen Nizam Muhuseen Sooraj Nair
GFlock,"Pants, Shirt","Visit upstairs for mensware. They do have nice collection of shirts,pants and jeans. (tees - limited collection tho) Love the quality and the service. This store is always crowded and parking creates a hassle, especially during evenings hours. Abdullah Ahamed Abdullah Ahamed Abdullah Ahamed Abdullah Ahamed Abdullah Ahamed Dulanthi Perera"
GFlock,"Dress, Shirt",This is for Gflock online. I order a Blue Shirt Dress online (See original image with model) and it was …More shazzana hamid shazzana hamid shazzana hamid shazzana hamid shazzana hamid shazzana hamid shazzana hamid shazzana hamid
GFlock,Overall Dress,"I have bought some dresses from Gflock before and they are of good quality and beautiful designs but this time I did an online purchase and it’s been more than a week now and I still haven’t received any update about my order. Everytime I call customer care, they say they will dispatch today. I was hoping to dress it for a function on this Friday but I won’t be able to do so due their delay. Please take necessary actions to delivery faster. Really frustrated with the delays. Ashari Nawalage review"
GFlock,"Shirt, T-shirt","I got beautiful & quality T-shirts & shirts from GFLock.👕Those were very beautiful and elegant.🗿❤️ But, visit here if you are expecting only quality not about the price 💸😏 Dulmina Thirimanna"
GFlock,"Bag, Denim, Dress, Shirt","Cloth shop for men and women. Specially for ladies clothes. Clothes are very classy looking. Office dresses, blouses, denims, trousers, blazers, linen dresses, t shirts, part dresses availble for ladies. Materials have good quality. Prices are above average. Online delivery also available. There are several clothes to select according to their choice. Staff are very friendly. Paper bags are using. Parking space is not enough. Shashiprabha Madubhashani Shashiprabha Madubhashani Shashiprabha Madubhashani Shashiprabha Madubhashani Isuru Seneviratne"
