Brand Name,Product Name,Review
Jezza,Overall Dress,"I have been buying from Jezza since they started off. I have found the perfect work wear at Jezza which are modest and at the same time, stylish.. I should mention about the staff at their flagship store in Dehiwela, they are friendly and helpful, particularly Shaira who welcomes me with a bright smile and be there to help till the end. Hope Jezza continues to keep up with my expectations!"
Jezza,Top,"I found the fit a little loose around the bust, which wasn’t very flattering."
Jezza,Overall Dress,"Place is Near to Old Williams Mills, and The Brand is almost a Rich brand for Ladies Fashion. Rich in Design and quality also little expensive while compared to other local brands , Good customer service , clean place Mohammed Mumthaz Mohammed Mumthaz Mohammed Mumthaz 1"
Jezza,Overall Dress,Little bit expensive but got good collection of designs to select from.
Jezza,Overall Dress,Very nice dresses i like Jezza dresses 1
Jezza,"Bag, Shoes",Love jezza. They always have some thing I love. Now that they have added shoes and hand bags to the collection. The service is fantastic at this this place. Fathima Zikra 1 review
Jezza,Overall Dress,Women’s clothing outlet mostly western clothing style available 1 ravindu dilmika 1 review
Jezza,Overall Dress,My wife’s go to place and recently they have introduced dress for gents as well.
Jezza,Pants,"They sculpt my figure without feeling restrictive, making them a wardrobe staple."
Jezza,Overall Dress,They have nice collection. Prices are bit high.
Jezza,"Dress, Top","I had the pleasure of visiting Jezza Fashion's Dehiwala branch recently, and I am thoroughly impressed with both their service and the quality of their clothing. From the moment I walked in, I was greeted warmly and felt welcomed. The store offers an extensive collection of both casual and formal dresses, each piece reflecting excellent craftsmanship and style. I want to highlight the exceptional service provided by Shaira, one of the staff members. Shaira's dedication to her job and her customers is truly commendable. She was incredibly attentive, helping me find exactly what I was looking for with her knowledgeable suggestions and keen eye for fashion. Her friendly and professional demeanor made my shopping experience not only efficient but also enjoyable. The attention to detail in their dress designs and the quality of the materials used is evident, making Jezza Fashion stand out from other retailers. Whether you're looking for something casual or a formal outfit for a special occasion, you can trust that you'll find something perfect here. Overall, I am extremely satisfied with my experience at Jezza Fashion, Dehiwala. I highly recommend this store to anyone looking for top-notch service and high-quality fashion. Kudos to the team, and especially to Shaira, for making my visit exceptional. Shifara Samsudeen 1 review"
Jezza,Overall Dress,Good collection of uncommon designs
Jezza,Overall Dress,"Clothes are little in to pricy side. However, i always liked there collection hope they can put a reasonable price on there modest clothing."
Jezza,Overall Dress,Love it people and collection's 👍
Jezza,Overall Dress,"Lovely collections, but very high prices. 1 mohamed saleem"
Jezza,Overall Dress,Nice place to shop if you are looking for modest dressing.
Jezza,Pants,"The color faded rather quickly, making them look less vibrant over time."
Jezza,Pants,The quality is evident from the precise stitching to the durable material.
Jezza,Top,The unique cut gives a modern twist while still keeping it elegantly simple.
Jezza,Overall Dress,Yah very cool collection and very good customer service and specialy Rizvana good customers service And yah
Jezza,Pants,The fabric’s softness and slight stretch make them perfect for long days.
Jezza,Top,A stylish top that transitions seamlessly from daytime errands to evening outings.
Jezza,Top,"Time wasting, They still believe floral designs are in trend..!! V difficult to witness a top without floral design."
Jezza,Overall Dress,Amazing collections and beautiful environment!
Jezza,Abaya,New I received my habaya today.Thank u jezza fashion for your beautiful product and also thank you so much shaira for your kind service.
Jezza,Overall Dress,Very expensive but quality dresses
Jezza,Pants,I love the modern design with subtle details that enhance the overall look.
Jezza,Overall Dress,Very unique designs of office wear and casual wears. Verry good customer service.
Jezza,Overall Dress,Awesome collections of unique designs
Jezza,Overall Dress,Finest place for clothing in Colombo
Jezza,Overall Dress,Loved the clothes MI PREMIER TRADING PVT LTD
Jezza,Overall Dress,Great collection of clothes. The quality is exceptional. The prices are a bit too high. The staff is friendly and the shop is spacious
Jezza,Overall Dress,Good collection with $$$$$ Noor Nabeela 1 review
Jezza,Overall Dress,Ladies latest ready made dresses
Jezza,Pants,"Plenty of modest clothing for ladies. The quality isn’t that great, some materials get woolly/fluffy after a couple of wears and the sewing could definitely be better for the high prices they charge. They do exchange if you complain about the sewing defects or material issues after wearing which is only fair. Some items like pants are very overpriced. The staff is friendly and quite helpful, some can be quite pushy though. Yaz Deen"
Jezza,Overall Dress,They should add more designer clothes.
