<<<<<<< HEAD
Brand Name,Product Name,Review
Kelly Felder,Overall Dress,"Good selection of clothing for women's, selection for men's are limited. Bit up market prices. Photo 1 in review by Dean Abey Photo 2 in review by Dean Abey Photo 3 in review by Dean Abey Photo 4 in review by Dean Abey Photo 5 in review by Dean Abey 1"
Kelly Felder,Overall Dress,"Thank you for your feedback! We're glad you enjoyed our women's clothing selection. We appreciate your input about the men's range and pricing. We’re always looking to improve, so your comments will help us ensure a better shopping experience for everyone. We hope to see you again soon! Yours sincerely, Kelly Felder Management"
Kelly Felder,Overall Dress,Women clothing store. Small section for mens wear. Prices are bit higher. Staff was helpful. Have seats for gents 😁 Parking available for around 7 cars. Can find roadside parking nearby. Photo 1 in review by Dasitha Wijesundara Photo 2 in review by Dasitha Wijesundara Photo 3 in review by Dasitha Wijesundara Photo 4 in review by Dasitha Wijesundara Photo 5 in review by Dasitha Wijesundara Photo 6 in review by Dasitha Wijesundara Photo 7 in review by Dasitha Wijesundara Photo 8 in review by Dasitha Wijesundara 1
Kelly Felder,Overall Dress,The most attractive clothing brand 🤌🏾 Photo 1 in review by thisali sehanga Photo 2 in review by thisali sehanga
Kelly Felder,Overall Dress,"Have a good women's wear collection, nice designs. Good staff and awesome music playing inside the store, good vibes. Have a parking space for a 6, 7 vehicles in front of the building. Photo 1 in review by Romey Rome Photo 2 in review by Romey Rome Photo 3 in review by Romey Rome Photo 4 in review by Romey Rome Photo 5 in review by Romey Rome Photo 6 in review by Romey Rome Photo 7 in review by Romey Rome Photo 8 in review by Romey Rome Photo 9 in review by Romey Rome Photo 10 in review by Romey Rome Photo 11 in review by Romey Rome Photo 12 in review by Romey Rome Photo 13 in review by Romey Rome Photo 14 in review by Romey Rome 1 Aruna Shantha"
Kelly Felder,Overall Dress,"This is a one of really nice women's wear shop with the new look, They Color variety of the clothing is quit small and also there designs are seems quite same, working staff is nice and friendly with their smile. parking is very small for 05-06 vehicles. Photo 1 in review by Aruna Shantha Photo 2 in review by Aruna Shantha Photo 3 in review by Aruna Shantha Photo 4 in review by Aruna Shantha Photo 5 in review by Aruna Shantha Photo 6 in review by Aruna Shantha Photo 7 in review by Aruna Shantha Photo 8 in review by Aruna Shantha Photo 9 in review by Aruna Shantha Photo 10 in review by Aruna Shantha Photo 11 in review by Aruna Shantha Photo 12 in review by Aruna Shantha Photo 13 in review by Aruna Shantha Photo 14 in review by Aruna Shantha Photo 15 in review by Aruna Shantha Photo 16 in review by Aruna Shantha Photo 17 in review by Aruna Shantha Photo 18 in review by Aruna Shantha Photo 19 in review by Aruna Shantha Photo 20 in review by Aruna Shantha 1 Madujith Rajakaruna"
Kelly Felder,Overall Dress,"Popular place for women's clothing. Overall, high-quality branded goods can be purchased."
Kelly Felder,Overall Dress,"We thank you for your feedback, we are happy you are pleased with the our products, we hope you had a chance to check out our mentions collection, we hope to see you again soon. Yours Sincerely, Kelly Felder Management Thejanee Perera"
Kelly Felder,Overall Dress,It is a good place for women's shopping with a small section for men's clothing. To allow thr ladies to shop peacefully seating is available for the husbands 😊. Photo 1 in review by Dilan Jayasinghe Photo 2 in review by Dilan Jayasinghe Photo 3 in review by Dilan Jayasinghe Photo 4 in review by Dilan Jayasinghe Photo 5 in review by Dilan Jayasinghe Photo 6 in review by Dilan Jayasinghe 1
