Brand Name,Product Name,Review
Mimosa,Jumpsuit,The jumpsuit doesn’t offer enough room in the hips for a completely relaxed fit.
Mimosa,Overall Dress,Fast delivery. They delivered my order within 24 hours. Great shopping with Mimosa and love their collections. :) Dulanjalee perera biz nerves 1 review
Mimosa,Overall Dress,A good variety of reasonably priced clothes
Mimosa,Overall Dress,"I love your clothes. They are edgy, fashionable. The online customer service is outstanding – the team is very responsive and helpful in solving each question especially Mr. Shohan. He's been so helpful with all of my questions. Thank you so much for creating this thoughtful, comfortable and beautiful line! Isuru sampath"
Mimosa,Overall Dress,Great place to shop! Love the collection there! And friendly service.
Mimosa,Pants,Excellent trousers in terms of length and cut.
Mimosa,Shirt,"I found the fabric slightly too sheer in the shirt, requiring careful layering."
Mimosa,Pants,I’ve been happy with Mimosa for a long time and has been my go to for pants! Z N
Mimosa,Cap,Hellow I'm a regular customer at mimosa . I love the brand and styles and everything except the fact that the items gets sold out easily . I have delivery issues since I'm from mathugama but one day I wanted a dress to be collected from maharagama . So I did. But unfortunately there was some damages .but there was this guy called shohan who helped me a lot that day. He gave me the dress peerfectly by adjusting the damaged part.shohan is indeed an asset to the company .
Mimosa,Overall Dress,Love the collection and the staff is so friendly 💕 . Online purchase was also so convenient and helpful .
Mimosa,Overall Dress,Awesome and unique collection of cloths... And a calm place to shop peacefully ! Friendly staff... Love it... and i love the cloth quality... Its simply perfect manisha weerasinghe
Mimosa,Shirt,"The shirt is a masterclass in refined style, offering unmatched versatility, comfort, and a polished appearance."
Mimosa,Overall Dress,I absolutely adore the trendy styles Mimosa offers. The clothes fit so well and they look amazing on a curvy figure. I really appreciate the fashion designer in here ❤️ keep it up guys 💗 good luck Janodya T.M
Mimosa,Overall Dress,I love this shop ❤❤ good comfortable clothing located conveniently .. has a nice ambience too 💯
Mimosa,Overall Dress,Nice place easy to move around better variety of clothes for women but very unique mens designer wear too.
Mimosa,Overall Dress,Really good store!! Super cool clothes and cheap🫶 Светлана Шаламова
Mimosa,Overall Dress,"“I would like to commend Mr Shohan from Mimosa clothing for their excellent customer service. They were professional, courteous, and went above and beyond to ensure my needs were met. Their attention to detail and quick resolution of my concerns made my experience truly exceptional. It’s rare to come across such outstanding service, and I truly appreciate it. Thank you for having such a dedicated team member!” Go ahead..👌✌☺️"
Mimosa,Overall Dress,Kavindi provided outstanding customer service by assisting my mum purchase clothes for me. She went above and beyond by showing me the different collections and recommending the right size for the different items via video call. Really made things easy for my mum. Her dedication and helpfulness is truly commendable! 1
Mimosa,Overall Dress,"Smallest size was US8 I'm a US6 :( but my mum found heaps of stuff. All amazing quality, design and fit and diverse range of styles, just wish there was a wider size range because it's all so nice! Asha Umani 1 review"
Mimosa,Overall Dress,"Their clothes used to be cute and one of a kind in lanka. But recently, almost everything they put out looks cheap, trashy and low quality. Just terrible. Hope they improve. 5"
Mimosa,Overall Dress,I absolutely love wearing pieces from mimosa! They never miss with their quality and style. I wanted to thank Niyumi from the online team as she was super quick to reply to all my questions and made the whole online shopping process so easy. Highly recommend mimosa for both their amazing clothes and customer service!
