Brand Name,Product Name,Review
Pepper Street,"Caps, Hoodie","I recently purchased several clothing items from this shop and had a mixed experience. On the positive side, the hoodies and caps are quite good. They are comfortable, stylish, and seem to be made from better materials compared to other items. However, I found the overall quality of most other clothing items to be lacking. The materials are not up to standard and fade quickly after minimal use. Given the high prices, I expected much better durability and quality. Unfortunately, the price does not match the product quality for most items. While I can recommend the hoodies and caps, I would advise caution with other clothing items if you are seeking quality."
Pepper Street,Shorts,The color options are vibrant and add a fun pop to any outfit.
Pepper Street,Overall Dress,I tried this for the first time. obviously it's perfect. Final outlook was elegant with quality fabrics and good measurements. Highly recommended about clothings 🙌🏻 Manzab Z
Pepper Street,Hoodie,I appreciate the comfortable hood and spacious pockets for storing essentials.
Pepper Street,Hoodie,"It shrinks after the first wash, and the fit becomes noticeably off."
Pepper Street,Shirt,I Recently bought a Product name is Versa sweatshirt Color is Carbon Blue. Price is/= ....Mchng I washed onlytimes after washed Carbon ekath ne. Blue ekath pennama ne. Pattama chater meterial.. I don't like to say that. Cause me brand eka build karanma loku gemak denna athi. I Came to the store to show that product to your management.. I didn't get answer.Mekata wada/= moose eka hondai.. Aloka
Pepper Street,Overall Dress,Definitely recommend for anyone looking for high quality clothing at a reasonable price! The fabric is super comfortable and absolutely love the fit. Will be back for more!
Pepper Street,Shorts,"The fit is inconsistent, leaving some areas too tight while others are loose."
Pepper Street,Overall Dress,"Unfortunately, my recent online purchase has taken over two weeks to arrive, and my messages have gone unanswered. I'm disappointed by the no in-store exchange options and the worst customer service. They act like as we are begging for clothesShaheen Rizvi"
Pepper Street,Hoodie,The hoodie feels too bulky and makes me look larger than I am.
Pepper Street,T-shirt,"The oversized style is perfect for a laid-back look, it drapes beautifully without looking sloppy."
Pepper Street,"Shirt, T-Shirt","I went to the store today (16th) to return a T-shirt I bought on theth. The initial size I purchased was XL, but it ended up being too large, so I wanted to swap it for a smaller one. All the other items on the original receipt were fine, just the XL T-shirt was returned . Nonetheless, when I returned the T-shirt for an exchange, the customer service agent claimed that I had worn it and reattached the tags. He asserted that the threading on the label was unlike that on products sold in the store. Thus he believes I have taken the measure of reattaching the labels. I was astonished by his comments. Such inadequate customer service guarantees that this will be my final purchase from this store. Management must ensure that in the future, suitable training and guidance provided on the items sold, particularly regarding the materials used for attaching the tags to prevent this from happening againIan Stephen"
Pepper Street,Overall Dress,One of the best clothing shops in one Galle face.
Pepper Street,Overall Dress,Cool clothes experience🥰🤩 ahamed rajih
Pepper Street,Overall Dress,Very friendly customer service and a good selection of clothes. Would definitely recommend.
Pepper Street,T-shirt,"The oversized tee, although trendy, ended up looking too baggy on me."
Pepper Street,T-shirt,"This oversized tee is a dream! The relaxed fit is both trendy and comfortable, making it a standout piece."
Pepper Street,Overall Dress,"So i was in the peper st last Saturday Im very pleased with their service specially with their in store staff ,they were very friendly and guided me through the fabrics and everything which i didn’t receive in any other clothing brand and i hope to shop more in the future ❤️"
Pepper Street,Overall Dress,"Hello there! We apologize for any inconvenience caused in terms of not having stock, Most of our collections are fast selling and run out of stock."
Pepper Street,Hoodie,"The fit is relaxed yet flattering, making it ideal for casual wear."
Pepper Street,Hoodie,The quality of the fabric and stitching speaks volumes about the overall durability.
Pepper Street,Cap,"Extremely sorry for the inconveniences caused , we never maintain double standards for online and offline it’s always the same standard that’s been followed. W could kindly send us your order number so we can look into sorting the issue out immediately"
Pepper Street,Shorts,"Exceptional quality and customer service. Recommending to anyone who doesn’t want to blow out their wallets wanting for quality Tees, Hoods and Shorts. Super stuff"
Pepper Street,"Pants, Top","""I tried to buy a pair of utility cargo pants from Pepper St. online, but they were all sold out. I reached out to the hotline and got connected with Mr. Rakeeb. Honestly, he's amazing! He took it upon himself to find the pants at a physical outlet and personally arranged delivery for me. The dedication he showed was just out of this world! Hats off to Mr. Rakeeb and the whole Pepper St. team – they really went the extra mile. And, of course, the pants fit perfectly and look awesome. Absolute top-notch service and quality clothes, broh!"""
Pepper Street,Joggers,The stitching came undone in a couple of places after minimal use.
Pepper Street,T-shirt,The fabric feels rough and doesn’t compare well to other premium options.
Pepper Street,Shirt,Cool place to get bucket hats and casual tshirtsMuiz Uvais
Pepper Street,Overall Dress,"I recently visited your store and had an excellent shopping experience. The Elite Crew Neck Tee I purchased is incredibly comfortable and stylish, quickly becoming a favorite in my wardrobe. Additionally, the staff was exceptionally helpful and friendly, making the entire process enjoyable. I'll definitely be returning for more!"
Pepper Street,Shirt,Perfect place to buy best quality T shirts for best available price... i wnna say their quality is premium n i have all of thier crew necks launched.. Good Job Guys ♥️
Pepper Street,Overall Dress,Limited collection & not satisfied with their service 😒
Pepper Street,Shirt,"Love there ,Good quality plain pastel color t shirts … 👍👍👍"
Pepper Street,Joggers,They don’t provide enough support for more intensive workouts.
Pepper Street,Cap,Love the quality of clothing and variety of accessories that they sell! You’ve earned a customer for life :’)
Pepper Street,Overall Dress,They had a large sale recently. Long queues and great clothing.
Pepper Street,Hoodie,"It’s a perfect blend of comfort and style, ideal for casual outings."
Pepper Street,Joggers,The design feels generic and does not stand out from similar products.
Pepper Street,T-shirt,"I’m impressed by the creative prints, each design seems to tell its own story, adding character to the piece."
Pepper Street,Joggers,The elastic waist and tapered legs create a comfortable yet stylish silhouette.
Pepper Street,Overall Dress,"New I visited the Pepper St flagship store at OGF and I had a great experience, the apparels are really high quality Backup Backup1"
Pepper Street,Shirt,Good quality t shirts with uncommon range of colours. Reasonable price
Pepper Street,Hoodie,Absolutely love the hoodies and joggers! Keep up the great stuff guys
Pepper Street,Shorts,These shorts are incredibly comfortable and perfect for summer outings.
Pepper Street,T-shirt,The t-shirt feels thin and not very durable for long-term use.
