brand,text
Carnage,This active wear set is fantastic for both intense workouts and everyday comfort.
Carnage,Premium fabric that enhances performance while staying comfortable.
Carnage,"Built to last, even with regular and intense use."
Carnage,Best Sri Lankan Clothing Brand
Carnage,Enhances both your look and performance during workouts.
Carnage,"Today28/07/2024 I purchased a few items from carnage sale at OGF within 15 min after 3 hours in line . Within 2,3 hours after I purchasing one of tshirt tear off. Very disappointed about the quality of your items. Most of the items are in poor quality and it looks like it was made by the cheap company and embroidered and rebranded as carnage. Never go there especially for sale. 3"
Carnage,Quality clothing and good customer service
Carnage,"Affordable and high quality active wear, as good as world renowned brands. Gr8 work by the promoters."
Carnage,A clothing store in Colombo... 1 Luchith Dilpahan
Carnage,Great for a day at the beach or a casual stroll.
Carnage,Overall quality feels subpar compared to similar products.
Carnage,The design appears cheap and lacks the finishing touches.
Carnage,"A must-have for any fitness enthusiast, highly recommend it."
Carnage,Versatile design that adapts easily to different activities.
Carnage,Good clothes but it takes so long for the cashier to finalise the products …. Please fix this madness so we wouldn’t be standing for hours 1 Ramith kisal
Carnage,Active wears products with good craftsmenship. Bit crowded due sale time. Plenty of of parking slots. 1 Steve Andrew
Carnage,Uncomfortable for hot days due to poor breathability.
Carnage,"Carnage is a prominent active and lifestyle clothing brand in Sri Lanka, offering a diverse range of apparel for both men and women. Their collection includes oversized t-shirts, leggings, premium joggers, and graphic tees, catering to contemporary fashion trends.

For the latest updates and a glimpse into their product range, you can follow Carnage on Instagram.

Additionally, Carnage offers worldwide shipping through their online store, providing convenient access to their products for customers both locally and internationally. Navin Saeed"
Carnage,Best customer service and high quality clothes and other items. Best place. Aravinthan Android
Carnage,"Zero Customer service available online. These people don’t respond to calls, WhatsApp messages, emails, their own website chat and other social media messages. 2"
Carnage,Clothing material quality is down drastically. 1 Madusanaka J.M.T 1 review
Carnage,An impressive blend of style and performance.
Carnage,I had a great experience at the store. All the clothes were a fantastic ❤️ staff was super friendly young crow young vibes 💪🏻 but I don’t know why these other people are complaining about them. Screw the people who are complaining.😑 anyways i will visit the store more than the online web😘
Carnage,"Came in today to buy some pants and couldnt get any assistance, instead everyone was busy taking pictures like it was some photo studio. House of fashions next door had similar pants of the same quality for 1/3 of the price and a much more helpful staff.

My idiot friend reccomended this store to me, i wouldnt reccomend it to anyone. 11 Malinda Bandara"
Carnage,Provides excellent support while looking sleek and modern.
